(alberto)Running: Add Water          [ exec-time 3.004 s ]
(abarriga)Running: Start Machine      [exec-time 0.001 ms ]
(abarriga)Running: Boil Water         [exec-time 0.003 ms ]
(abarriga)Running: Make Coffee        [ exec-time 2.046 s ]
(abarriga)Running: Start Machine      [exec-time 0.002 ms ]
(abarriga)Running: Boil Water         [exec-time 0.004 ms ]
(abarriga)Running: Make Coffee        [ exec-time 2.070 s ]
(abarriga)Running: Start Machine      [exec-time 0.002 ms ]
(abarriga)Running: Boil Water         [exec-time 0.003 ms ]
(abarriga)Running: Make Coffee        [ exec-time 2.066 s ]
(abarriga)Running: Start Machine      [exec-time 0.002 ms ]
(abarriga)Running: Boil Water         [exec-time 0.004 ms ]
(abarriga)Running: Make Coffee        [ exec-time 2.048 s ]
(abarriga)Running: Start Machine      [exec-time 0.018 ms ]
(abarriga)Running: Make Coffee        [exec-time 7.654 ms ]
(abarriga)Running: Start Machine      [exec-time 0.016 ms ]
(abarriga)Running: Make Coffee        [exec-time 6.258 ms ]
(abarriga)Running: Add Water          [ exec-time 3.005 s ]
